market,side,size,entry_price,realised_pnl,trade_pnl,funding_fees,trading_fees,exit_price,exit_type,closed_at
TIA-USD,LONG,42,0.5842,-0.015239,-0.0042,0,-0.011039,0.5841,TRADE,2025-12-13T09:38:09.484Z
TRX-USD,LONG,100,0.27297,-0.018281,-0.006,0,-0.012281,0.27291,TRADE,2025-12-13T09:38:09.497Z
LINEA-USD,LONG,3200,0.007632,-0.017388,-0.0064,0,-0.010988,0.00763,TRADE,2025-12-13T09:38:09.496Z
CRV-USD,LONG,62,0.39942,0.033507,0.04466,0,-0.011153,0.40015,TRADE,2025-12-13T09:38:09.497Z
TIA-USD,LONG,85,0.5846,-0.056352,-0.034,0,-0.022352,0.5842,TRADE,2025-12-13T09:19:47.024Z
JUP-USD,LONG,248,0.2012,-0.096836,-0.0744,0,-0.022436,0.2009,TRADE,2025-12-13T00:44:32.209Z
EDEN-USD,LONG,750,0.06592,-0.074736,-0.0525,0,-0.022236,0.06585,TRADE,2025-12-13T00:44:32.995Z
TAO-USD,LONG,0.17,293.65,-0.053057,-0.0306,0,-0.022457,293.47,TRADE,2025-12-13T00:44:33.020Z
ZRO-USD,LONG,34,1.4682,0.161096,0.1836,0,-0.022504,1.4736,TRADE,2025-12-13T00:44:33.019Z
ONDO-USD,LONG,108,0.459,-0.076294,-0.054,0,-0.022294,0.4585,TRADE,2025-12-13T00:44:33.016Z
AERO-USD,LONG,81,0.61185,-0.078988,-0.0567,0,-0.022288,0.61115,TRADE,2025-12-13T00:38:43.965Z
ONDO-USD,LONG,108,0.4592,-0.076304,-0.054,0,-0.022304,0.4587,TRADE,2025-12-13T00:38:43.969Z
TAO-USD,LONG,0.17,293.13,-0.010526,0.0119,0,-0.022426,293.2,TRADE,2025-12-13T00:38:43.969Z
ONDO-USD,LONG,109,0.4583,-0.044273,-0.0218,0,-0.022473,0.4581,TRADE,2025-12-13T00:30:23.206Z
LINEA-USD,LONG,6500,0.00761,-0.035255,-0.013,0,-0.022255,0.007608,TRADE,2025-12-13T00:30:23.171Z
ZRO-USD,LONG,33,1.4877,0.007602,0.0297,0,-0.022098,1.4886,TRADE,2025-12-13T00:30:23.177Z
SUI-USD,LONG,32,1.5624,-0.035295,-0.0128,0,-0.022495,1.562,TRADE,2025-12-13T00:30:23.174Z
SUI-USD,LONG,32,1.5632,-0.02251,0,0,-0.02251,1.5632,TRADE,2025-12-13T00:19:29.631Z
ZRO-USD,LONG,34,1.4607,-0.018949,0.0034,0,-0.022349,1.4608,TRADE,2025-12-13T00:19:29.664Z
ONDO-USD,LONG,108,0.4592,-0.033114,-0.0108,0,-0.022314,0.4591,TRADE,2025-12-13T00:19:29.636Z
EDEN-USD,LONG,750,0.06608,-0.059793,-0.0375,0,-0.022293,0.06603,TRADE,2025-12-13T00:12:42.760Z
ONDO-USD,LONG,108,0.4596,-0.043931,-0.0216,0,-0.022331,0.4594,TRADE,2025-12-13T00:12:42.754Z
KAITO-USD,LONG,80,0.6139,0.097873,0.12,0,-0.022127,0.6154,TRADE,2025-12-13T00:12:42.760Z
ZRO-USD,LONG,34,1.4661,-0.039426,-0.017,0,-0.022426,1.4656,TRADE,2025-12-13T00:12:42.740Z
SUI-USD,LONG,31,1.564,-0.040412,-0.0186,0,-0.021812,1.5634,TRADE,2025-12-13T00:12:42.756Z
ZRO-USD,LONG,34,1.4709,-0.032702,-0.0102,0,-0.022502,1.4706,TRADE,2025-12-13T00:04:45.395Z
NEAR-USD,LONG,30,1.6413,-0.073145,-0.051,0,-0.022145,1.6396,TRADE,2025-12-13T00:04:45.392Z
SUI-USD,LONG,32,1.5607,0.047911,0.0704,0,-0.022489,1.5629,TRADE,2025-12-13T00:04:45.385Z
ONDO-USD,LONG,108,0.4586,-0.043882,-0.0216,0,-0.022282,0.4584,TRADE,2025-12-13T00:04:44.633Z
ONDO-USD,LONG,109,0.4581,-0.055161,-0.0327,0,-0.022461,0.4578,TRADE,2025-12-12T23:41:29.625Z
JUP-USD,LONG,249,0.2007,-0.072277,-0.0498,0,-0.022477,0.2005,TRADE,2025-12-12T23:41:29.626Z
ZRO-USD,LONG,33,1.4811,-0.219949,-0.198,0,-0.021949,1.4751,TRADE,2025-12-12T23:41:28.852Z
SUI-USD,LONG,31,1.5655,-0.028036,-0.0062,0,-0.021836,1.5653,TRADE,2025-12-12T23:35:47.257Z
EDEN-USD,LONG,750,0.06606,-0.194755,-0.1725,0,-0.022255,0.06583,TRADE,2025-12-12T23:35:47.240Z
ONDO-USD,LONG,109,0.4575,-0.055132,-0.0327,0,-0.022432,0.4572,TRADE,2025-12-12T23:35:47.255Z
ZRO-USD,LONG,34,1.4721,-0.134697,-0.1122,0,-0.022497,1.4688,TRADE,2025-12-12T23:35:47.356Z
EDEN-USD,LONG,750,0.06619,-0.074826,-0.0525,0,-0.022326,0.06612,TRADE,2025-12-12T23:28:59.206Z
