Market,Side,Date,Position Size,Payment,Rate
EDEN,short,2025-12-05 22:00:00,405.0,0.000090,0.000003%
ONDO,short,2025-12-05 22:00:00,60.0,-0.000470,-0.000017%
KAITO,short,2025-12-05 22:00:00,40.0,-0.009130,-0.000356%
EDEN,short,2025-12-05 21:00:00,405.0,-0.000206,-0.000007%
ONDO,short,2025-12-05 21:00:00,60.0,-0.000662,-0.000024%
KAITO,short,2025-12-05 21:00:00,40.0,-0.009756,-0.000381%
EDEN,short,2025-12-05 20:00:00,405.0,-0.002306,-0.000078%
ONDO,short,2025-12-05 20:00:00,60.0,0.000333,0.000012%
KAITO,short,2025-12-05 20:00:00,40.0,-0.008994,-0.000348%
EDEN,short,2025-12-05 19:00:00,405.0,-0.000791,-0.000027%
ONDO,short,2025-12-05 19:00:00,60.0,0.000330,0.000012%
KAITO,short,2025-12-05 19:00:00,40.0,-0.010080,-0.000392%
EDEN,short,2025-12-05 18:00:00,405.0,-0.000508,-0.000017%
ONDO,short,2025-12-05 18:00:00,60.0,0.000334,0.000012%
KAITO,short,2025-12-05 18:00:00,40.0,-0.008491,-0.000327%
LINEA,long,2025-12-05 17:00:00,3500,0.002824,-0.000099%
RESOLV,short,2025-12-05 17:00:00,360,-0.003127,-0.000111%
APT,long,2025-12-05 17:00:00,16.00,0.003311,-0.000118%
NEAR,short,2025-12-05 17:00:00,18.0,-0.000572,-0.000019%
LINEA,long,2025-12-05 16:00:00,3500,0.001574,-0.000054%
LINEA,long,2025-12-05 15:00:00,3500,0.002151,-0.000074%
ZRO,short,2025-12-05 15:00:00,21.0,-0.000315,-0.000011%
RESOLV,short,2025-12-05 15:00:00,360,-0.006204,-0.000219%
TRX,short,2025-12-05 15:00:00,80.0,0.000274,0.000012%
OP,long,2025-12-05 10:00:00,90.0,0.002536,-0.000089%
EIGEN,long,2025-12-05 10:00:00,55.0,0.000987,-0.000033%
KAITO,short,2025-12-05 10:00:00,40.0,-0.013440,-0.000485%
HYPE,long,2025-12-05 10:00:00,0.50,0.000435,-0.000027%
MON,long,2025-12-05 05:00:00,1050.0,0.000000,0.000000%
APEX,long,2025-12-05 05:00:00,55.0,0.001083,-0.000037%
LINEA,long,2025-12-05 05:00:00,3400,-0.000029,0.000001%
APT,long,2025-12-05 05:00:00,14.00,0.000320,-0.000012%
MON,long,2025-12-05 04:00:00,1050.0,-0.000342,0.000012%
APEX,long,2025-12-05 04:00:00,55.0,0.001918,-0.000066%
LINEA,long,2025-12-05 04:00:00,3400,0.000300,-0.000010%
APT,long,2025-12-05 04:00:00,14.00,0.000837,-0.000031%
MON,long,2025-12-05 03:00:00,1050.0,-0.000344,0.000012%
APEX,long,2025-12-05 03:00:00,55.0,0.000146,-0.000005%
LINEA,long,2025-12-05 03:00:00,3400,0.000757,-0.000025%
APT,long,2025-12-05 03:00:00,14.00,0.001038,-0.000038%
MON,long,2025-12-05 02:00:00,1050.0,-0.000341,0.000012%
APEX,long,2025-12-05 02:00:00,55.0,0.000116,-0.000004%
LINEA,long,2025-12-05 02:00:00,3400,0.001112,-0.000037%
APT,long,2025-12-05 02:00:00,14.00,0.000572,-0.000021%
MON,long,2025-12-05 01:00:00,1050.0,-0.000339,0.000012%
APEX,long,2025-12-05 01:00:00,55.0,0.000837,-0.000029%
LINEA,long,2025-12-05 01:00:00,3400,0.001943,-0.000064%
APT,long,2025-12-05 01:00:00,14.00,0.000733,-0.000027%
MON,long,2025-12-05 00:00:00,1050.0,-0.000116,0.000004%
APEX,long,2025-12-05 00:00:00,55.0,0.000320,-0.000011%
LINEA,long,2025-12-05 00:00:00,3400,0.002069,-0.000069%
APT,long,2025-12-05 00:00:00,14.00,0.000949,-0.000035%
MON,long,2025-12-04 23:00:00,1050.0,-0.000358,0.000012%
APEX,long,2025-12-04 23:00:00,55.0,0.000613,-0.000021%
LINEA,long,2025-12-04 23:00:00,3400,0.001727,-0.000058%
APT,long,2025-12-04 23:00:00,14.00,0.000898,-0.000033%
LINEA,long,2025-12-04 22:00:00,3400,0.001448,-0.000049%
ARB,short,2025-12-04 22:00:00,120.0,-0.000956,-0.000037%
APT,long,2025-12-04 22:00:00,14.00,0.000948,-0.000035%
HYPE,short,2025-12-04 22:00:00,0.50,-0.000282,-0.000017%
LINEA,short,2025-12-04 21:00:00,3400,-0.000769,-0.000026%
IP,short,2025-12-04 21:00:00,12.00,-0.002201,-0.000078%
BERA,long,2025-12-04 21:00:00,30.0,0.001078,-0.000039%
STRK,long,2025-12-04 20:00:00,250.0,0.000476,-0.000016%
MON,long,2025-12-04 20:00:00,1000.0,0.000377,-0.000013%
APEX,short,2025-12-04 20:00:00,55.0,-0.000058,-0.000002%
STRK,long,2025-12-04 19:00:00,250.0,0.000060,-0.000002%
MON,long,2025-12-04 19:00:00,1000.0,0.001165,-0.000040%
APEX,short,2025-12-04 19:00:00,55.0,0.000360,0.000012%
STRK,long,2025-12-04 18:00:00,250.0,-0.000300,0.000010%
MON,long,2025-12-04 18:00:00,1000.0,0.001168,-0.000040%
APEX,short,2025-12-04 18:00:00,55.0,-0.000479,-0.000016%
STRK,long,2025-12-04 17:00:00,250.0,-0.000330,0.000011%
